公司名称,lon,lat
北京文通科技有限公司,116.333948,39.986972
中金金融认证中心有限公司,116.55889,39.773829
赛仕软件研究开发（北京）有限公司,116.484871,40.006378
北京战策互动科技有限公司,116.366045,39.984024
上海飞观信息科技有限公司,116.387947,40.000423
北京美洽网络科技有限公司,116.315078,40.065711
北京中祥辉科技有限公司,116.317541,39.983431
旷视科技face++,116.325278,39.984211
北京知呱呱知识产权代理有限公司,116.271327,39.95431
北京快人科技有限公司,116.502802,39.963298
搜狗公司,116.332163,39.993605
北京智分科技有限公司,116.351631,39.977163
博易智软(北京)技术股份有限公司,116.354778,39.951003
超对称(北京)科技有限公司,116.481255,39.996758
网帅科技(北京)有限公司,116.377607,39.993582
店商互联(北京)科技发展有限公司,116.320146,39.975723
北京博派通达科技有限公司,116.416184,39.978202
北京硬球科技有限公司,116.30719,40.036184
拓天伟业(北京)资产管理集团有限公司,116.386368,39.849586
极客学院,116.309006,40.036858
中软国际有限公司,116.473767,40.013778
慕华(北京)网络技术有限公司,116.329653,39.995208
小付钱包技术(北京)有限公司,116.452746,39.913764
北京商高科技有限公司,116.293947,39.823994
北京多联元信息技术有限公司,116.449085,39.958545
北京盈海益讯科技发展有限公司,116.417061,40.032246
金电联行（北京）信息技术有限公司,116.454833,39.920022
北京艾唯博瑞科技有限公司,116.432851,39.936192
北京造数科技有限公司,116.50171,39.928826
北京尚客传媒科技有限公司,116.296601,39.967653
在线途游(北京)科技有限公司,116.417227,40.032034
北京红枣科技有限公司,116.474353,40.019675
玫瑰视界(北京)网络科技有限公司,116.480788,39.996806
北京首都在线科技股份有限公司,116.26875,39.95729
北京专脑信息技术有限公司,116.516858,39.92375
北京盖娅互娱网络科技股份有限公司,116.48679,40.001083
北京天广汇通科技有限公司,116.294437,39.939531
北京百悟科技有限公司,116.549644,40.088041
北京新界教育科技有限公司,116.22472,40.073618
北京中睿天下信息技术有限公司,116.311121,40.02735
北京迈基诺基因科技股份有限公司,116.54545,40.096704
北京裕天合生物材料科技有限公司,116.281462,39.827099
北京链上科技有限责任公司,116.309031,40.036569
北京卓越讯通科技有限公司,116.474098,40.011884
海南大云科技有限公司,116.509544,39.895149
北京号外科技有限公司,116.334024,39.984599
京工博创(北京)科技有限公司,116.308901,39.980692
北京点石经纬科技有限公司,116.313061,39.979386
中创三优(北京)科技有限公司,116.324917,39.93366
北京弘道智慧中医技术有限公司,116.307591,39.983763
医源国际医院管理有限公司,116.373637,39.868499
思沃创智信息技术(北京)有限公司,116.319802,39.98294
北京阿尔山金融科技有限公司,116.201617,39.90801
京东集团,116.387947,40.000423
北京一览群智数据科技有限责任公司,116.306823,39.963176
云学科技(北京)有限公司,116.514763,39.905898
用友广信网络科技有限公司,116.241859,40.071472
联想集团有限公司,116.273117,40.0463
北京阿拉丁未来科技有限责任公司,116.476849,39.980252
中国电力传媒集团有限公司,116.291739,39.822317
北京华喜创科科技有限公司,116.515842,39.937042
天创信用服务有限公司,116.463113,39.889894
北京金源动力信息化测评技术有限公司,116.424471,39.923844
北京格灵深瞳信息技术有限公司,116.377231,40.032256
北京宏嘉文化发展有限公司,116.430803,39.923853
北京创金启富投资管理有限公司,116.372843,39.878089
北京华信傲天网络技术有限公司,116.289363,40.04323
同辉佳视(北京)信息技术股份有限公司,116.334225,40.025566
Gameloft,116.311792,39.979564
北京奥金智策传媒科技有限公司,116.450497,39.908454
蓝信移动(北京)科技有限公司,116.490395,39.982772
贵阳高新联合智造运营管理有限公司,106.64846,26.616056
瑞林嘉驰(北京)资产管理有限责任公司,116.362274,39.896977
北京阳光伟烨网络技术有限公司,116.439886,39.922816
中国科学院空间应用工程与技术中心,116.281542,40.072306
盛安保险技术股份有限公司,116.349806,39.938675
福人德国际(北京)红珊瑚珠宝有限公司,116.47452,39.913401
北京博创联动科技有限公司,116.33614,39.976108
北京柯斯元科技有限公司,116.55703,39.733654
北京网录科技有限公司,116.323565,39.964621
北京湛腾世纪科技有限公司,116.446019,39.970221
北京春天影视科技有限公司,116.333058,39.979129
北京游行天下科技有限公司,116.480667,39.996403
深圳市恒扬数据股份有限公司,116.337951,39.979727
触景无限科技(北京)有限公司,116.312406,40.038281
硅谷汇(北京)软件技术有限公司,116.314245,39.990999
北大方正集团,116.316419,39.991399
唯品会(中国)有限公司,116.498144,39.913664
富贵鸟矿业,116.432785,39.934753
湖南上容信息技术有限公司,113.00167,28.23036
北京踏歌智行科技有限公司,116.063338,40.182428
新余高新区金泰亚盛咨询有限公司,116.297176,39.825233
北京华云网际科技有限公司,116.376559,40.032729
北京启明星辰信息安全技术有限公司,116.288174,40.048932
首约科技(北京)有限公司,116.432846,39.919884
北京精真估信息技术有限公司,116.306485,39.979566
上融网络科技(北京)有限公司,116.297176,39.825233
北京国电通网络技术有限公司,116.287287,39.831575
北京泽塔云科技股份有限公司,116.371079,39.968593
阿拉丁控股集团有限公司,116.481606,39.9122
鹏博士电信传媒集团股份有限公司北京科技分公司,116.421798,39.950554
中国软件与技术服务股份有限公司,116.388865,39.971066
冠诚(北京)信息服务有限公司,116.462472,39.894897
中国搜索信息科技股份有限公司,116.390041,39.870415
北京北大英华科技有限公司,116.31639,39.977679
国美在线电子商务有限公司,116.466716,39.958957
亚信科技(中国)有限公司,116.280826,40.044263
网智天元科技集团股份有限公司,116.352325,39.93095
北京佳禾永利投资管理有限公司,116.459244,39.949945
上海龙旗科技股份有限公司,116.298056,39.959912
长安通信科技有限责任公司,116.387216,39.974421
北京联龙博通电子商务技术有限公司,116.375459,39.896383
河南中原消费金融股份有限公司,113.73489,34.774281
北京旋极集团,116.236866,40.074324
北京渔阳信通信息技术有限公司,116.242963,40.050409
北京搜房互联网信息服务有限公司,116.300121,39.81334
北京天宇正清科技有限公司,116.329705,39.939364
北京大米科技有限公司,116.396058,39.944071
恒泰艾普(北京)云技术有限公司,116.236405,40.075494
天津市滨海新区军民融合创新研究院,117.621642,39.063821
嘉实基金管理有限公司,116.434059,39.912924
玖富金科控股集团有限责任公司,116.480744,39.995981
中电科技(北京)有限公司,116.374262,39.988638
北京图为先科技有限公司,116.245368,40.072979
北京一点网聚信息技术有限公司,116.388865,39.971066
北京神州泰岳软件股份有限公司,116.417617,40.031837
北京世纪超星信息技术发展有限责任公司,116.30759,40.046882
北京鼎泰智源科技有限公司,116.303276,40.035542
北京青软实训教育科技有限公司,116.505862,39.79326
中金数据系统有限公司,116.501573,39.774449
百度外卖,116.308659,40.039285
北京云币科技有限公司,116.298056,39.959912
北京知识印象科技有限公司,116.480482,39.996201
玩咖欢聚文化传媒(北京)有限公司,116.409828,40.005527
南京君合创胜数据科技有限责任公司,116.36913,39.979547
深圳市前海洪涛教育科技有限公司北京分公司,116.317561,39.983818
山东文辉软件服务外包有限公司,116.298056,39.959912
信永中和(北京)国际投资管理有限公司,116.435382,39.931209
上海甦翔投资咨询有限公司 - 研发中心,116.454602,39.914034
同方鼎欣科技股份有限公司,116.308201,40.045503
启迪桑德环境资源股份有限公司,116.566917,39.740736
北京网库信息技术股份有限公司,116.410349,39.970977
新浪网房产频道,116.446922,39.893093
蓝色光标传播集团,116.494757,39.99018
北京世纪互联宽带数据中心有限公司,116.498984,39.978446
广联达科技股份有限公司,116.287991,40.050926
中科软科技股份有限公司,116.365868,39.912289
上海仁教信息技术有限公司,121.532531,31.224871
北京中体骏彩信息技术有限公司,116.460132,39.873932
钱包金服(北京)科技有限公司,116.495586,39.96134
北京信朴量思投资管理有限公司,116.335696,39.998495
梦想城堡(天津)电子商务有限公司北京分公司,116.49902,39.990801
北京中油瑞飞信息技术有限责任公司,116.239888,40.167272
中国中信集团有限公司,116.454034,39.94749
马上消费金融股份有限公司,116.488667,40.002852
九次方大数据信息集团有限公司,116.339191,39.998363
高晟财富控股集团有限公司,116.457231,39.919828
新奥集团股份有限公司,116.551191,39.800641
今日头条,116.328915,39.97201
顺丰科技有限公司,116.298056,39.959912
海尔集团公司,116.320757,39.976709
金风科技股份有限公司,116.506647,39.795337
中金支付有限公司,116.385463,39.865104
上海瀚纳仕人才管理咨询有限公司,116.42792,39.902896
沪江教育科技(上海)股份有限公司,116.333649,39.993897
金瓜子科技发展(北京)有限公司,116.29932,40.041967
北京简单科技有限公司,116.301698,40.054403
北京振中电子技术有限公司,116.347334,40.040911
