"_id",company,get_name,legal_person,registered_capital,registered_time,score,url
5a3cb80ba5d9660b3091629d,中金金融认证中心有限公司,中金金融认证中心有限公司,李凌,10000 万人民币,2004-03-02,89,https://m.tianyancha.com/company/26161954
5a3cb80ca5d9660b3091629e,赛仕软件研究开发（北京）有限公司,赛仕软件研究开发（北京）有限公司,安德鲁斯,71.4 万美元,2005-03-22,76,https://m.tianyancha.com/company/24516690
5a3cb80da5d9660b3091629f,北京战策互动科技有限公司,北京战策互动科技有限公司,阎洪昆,200 万人民币,2016-06-01,65,https://m.tianyancha.com/company/2357854257
5a3cb80ea5d9660b309162a0,上海飞观信息科技有限公司,上海飞观信息科技有限公司,左忠阁,100万人民币,2015-06-23,77,https://m.tianyancha.com/company/2319637842
5a3cb80fa5d9660b309162a1,北京美洽网络科技有限公司,北京美洽网络科技有限公司,黄海波,500 万人民币,2015-09-15,58,https://m.tianyancha.com/company/2318895076
5a3cb810a5d9660b309162a2,北京中祥辉科技有限公司,北京中祥辉科技有限公司,刘志刚,10 万元 人民币,2012-08-21,47,https://m.tianyancha.com/company/101016583
5a3cb811a5d9660b309162a3,旷视科技face++,北京旷视科技有限公司,印奇,3000 万人民币,2011-10-08,94,https://m.tianyancha.com/company/32106442
5a3cb812a5d9660b309162a4,北京知呱呱知识产权代理有限公司,北京知呱呱知识产权代理有限公司,严长春,500 万人民币,2013-12-17,76,https://m.tianyancha.com/company/2319334576
5a3cb813a5d9660b309162a5,北京快人科技有限公司,北京快人科技有限公司,巩珊珊,1000 万人民币,2016-01-26,64,https://m.tianyancha.com/company/2490689018
5a3cb814a5d9660b309162a6,搜狗公司,搜狗（汕头）互联网小额贷款有限公司,周毅,60000万人民币,2017-11-22,96,https://m.tianyancha.com/company/3118939371
5a3cb815a5d9660b309162a7,北京智分科技有限公司,北京智分科技有限公司,李黄海,100 万人民币,2017-09-22,58,https://m.tianyancha.com/company/3100825157
5a3cb816a5d9660b309162a8,博易智软(北京)技术股份有限公司,博易智软（北京）技术股份有限公司,李凯,2330.6233 万人民币,2002-07-25,89,https://m.tianyancha.com/company/24779147
5a3cb817a5d9660b309162a9,超对称(北京)科技有限公司,超对称（北京）科技有限公司,吴恒魁,50 万人民币,2016-03-03,51,https://m.tianyancha.com/company/2349430102
5a3cb818a5d9660b309162aa,网帅科技(北京)有限公司,网帅科技（北京）有限公司,胡庆勇,1250 万人民币,2015-04-15,62,https://m.tianyancha.com/company/2318881483
5a3cb819a5d9660b309162ab,店商互联(北京)科技发展有限公司,店商互联（北京）科技发展有限公司,宋宁宝,711.2118 万人民币,2014-01-21,99,https://m.tianyancha.com/company/24861790
5a3cb81aa5d9660b309162ac,北京博派通达科技有限公司,北京博派通达科技有限公司,杨婧,100 万人民币,2014-05-23,76,https://m.tianyancha.com/company/25513830
5a3cb81ba5d9660b309162ad,北京硬球科技有限公司,北京硬球科技有限公司,朱利涛,1111.11 万人民币,2016-10-31,74,https://m.tianyancha.com/company/2944612084
